# Skill reference — generated from skills.json + skills_by_job.md
# id	constant	description	category	notes
536	NJ_BAKUENRYU	Raging Fire Dragon	O	
537	NJ_HYOUSENSOU	Spear of Ice	O	
538	NJ_SUITON	Hidden Water	B	Ground-based; required for NJ_HYOUSENSOU (537) water bonus
539	NJ_HYOUSYOURAKU	Ice Meteor	O, S	
540	NJ_HUUJIN	Wind Blade	O	
541	NJ_RAIGEKISAI	Lightning Strike of Destruction	O	
542	NJ_KAMAITACHI	Kamaitachi	O	
543	NJ_NEN	Soul	B	
544	NJ_ISSEN	Final Strike	O	Model with Max HP or manually set HP
653	NPC_EARTHQUAKE	Earthquake		
654	NPC_FIREBREATH	Fire Breath		
655	NPC_ICEBREATH	Ice Breath		
656	NPC_THUNDERBREATH	Thunder Breath		
657	NPC_ACIDBREATH	Acid Breath		
658	NPC_DARKNESSBREATH	Darkness Breath		
659	NPC_DRAGONFEAR	Dragon Fear		
660	NPC_BLEEDING	Bleeding		
661	NPC_PULSESTRIKE	Pulse Strike		
662	NPC_HELLJUDGEMENT	Hell's Judgement		
663	NPC_WIDESILENCE	Wide Silence		
664	NPC_WIDEFREEZE	Wide Freeze		
665	NPC_WIDEBLEEDING	Wide Bleeding		
666	NPC_WIDESTONE	Wide Petrify		
667	NPC_WIDECONFUSE	Wide Confusion		
668	NPC_WIDESLEEP	Wide Sleep		
669	NPC_WIDESIGHT	Wide Sight		
670	NPC_EVILLAND	Evil Land		
671	NPC_MAGICMIRROR	Magic Mirror		
672	NPC_SLOWCAST	Slow Cast		
673	NPC_CRITICALWOUND	Critical Wounds		
674	NPC_EXPULSION	Expulsion		
675	NPC_STONESKIN	Stone Skin		
676	NPC_ANTIMAGIC	Anti Magic		
677	NPC_WIDECURSE	Wide Curse		
678	NPC_WIDESTUN	Wide Stun		
679	NPC_VAMPIRE_GIFT	Vampire Gift		
680	NPC_WIDESOULDRAIN	Wide Soul Drain		
681	ALL_INCCARRY	Increase Weight Limit R		
682	NPC_TALK	Talk		
683	NPC_HELLPOWER	Hell Power		
684	NPC_WIDEHELLDIGNITY	Hell Dignity		
685	NPC_INVINCIBLE	Invincible		
686	NPC_INVINCIBLEOFF	Invincible off		
687	NPC_ALLHEAL	Full Heal		
688	GM_SANDMAN	GM Sandman		
689	CASH_BLESSING	Party Blessing		
690	CASH_INCAGI	Party Increase AGI		
691	CASH_ASSUMPTIO	Party Assumptio		
693	ALL_PARTYFLEE	Party Flee		
694	ALL_ANGEL_PROTECT	Angel's Protection		
695	ALL_DREAM_SUMMERNIGHT	Summer Night Dream		
697	ALL_REVERSEORCISH	Reverse Orcish		
698	ALL_WEWISH	Christmas Carol		
700	NPC_WIDEHEALTHFEAR	Wide Fear		
701	NPC_WIDEBODYBURNNING	Wide Burning		
702	NPC_WIDEFROSTMISTY	Wide Freezing		
703	NPC_WIDECOLD	Wide Frozen		
704	NPC_WIDE_DEEP_SLEEP	Wide Deep Sleep		
705	NPC_WIDESIREN	Wide Charm		
1001	KN_CHARGEATK	Charge Attack	O	Allow manual distance setting
1002	CR_SHRINK	Shrink	X	Only for advanced combat modelling
1003	AS_SONICACCEL	Sonic Acceleration	P	
1004	AS_VENOMKNIFE	Throw Venom Knife	O, S	Allows Assassins to equip ammo
1005	RG_CLOSECONFINE	Close Confine	B	
1006	WZ_SIGHTBLASTER	Sight Blaster	O	Relevant for trap + fire pillar push; advanced modelling
1007	SA_CREATECON	Create Elemental Converter	X	Creates Elemental Converter; advanced uses/s modelling
1008	SA_ELEMENTWATER	Elemental Change Water	S	Changes target attribute; treat as debuff
1009	HT_PHANTASMIC	Phantasmic Arrow	O	
1010	BA_PANGVOICE	Pang Voice		
1011	DC_WINKCHARM	Wink of Charm		
1012	BS_UNFAIRLYTRICK	Unfair Trick		
1013	BS_GREED	Greed		
1014	PR_REDEMPTIO	Redemptio	X	Not relevant
1015	MO_KITRANSLATION	Ki Translation	X	Allow manual spirit sphere count for any build
1016	MO_BALKYOUNG	Ki Explosion	O, S	
1017	SA_ELEMENTGROUND	Elemental Change Earth	S	Changes target attribute; treat as debuff
1018	SA_ELEMENTFIRE	Elemental Change Fire	S	Changes target attribute; treat as debuff
1019	SA_ELEMENTWIND	Elemental Change Wind	S	Changes target attribute; treat as debuff
2001	RK_ENCHANTBLADE	Enchant Blade		
2002	RK_SONICWAVE	Sonic Wave		
2003	RK_DEATHBOUND	Death Bound		
2004	RK_HUNDREDSPEAR	Hundred Spear		
2005	RK_WINDCUTTER	Wind Cutter		
2006	RK_IGNITIONBREAK	Ignition Break		
2007	RK_DRAGONTRAINING	Dragon Training		
2008	RK_DRAGONBREATH	Dragon Breath		
2009	RK_DRAGONHOWLING	Dragon Howling		
2010	RK_RUNEMASTERY	Rune Mastery		
2011	RK_MILLENNIUMSHIELD	Millenium Shield		
2012	RK_CRUSHSTRIKE	Crush Strike		
2013	RK_REFRESH	Refresh		
2014	RK_GIANTGROWTH	Giant Growth		
2015	RK_STONEHARDSKIN	Stone Hard Skin		
2016	RK_VITALITYACTIVATION	Vitality Activation		
2017	RK_STORMBLAST	Storm Blast		
2018	RK_FIGHTINGSPIRIT	Fighting Spirit		
2019	RK_ABUNDANCE	Abundance		
2020	RK_PHANTOMTHRUST	Phantom Thrust		
2021	GC_VENOMIMPRESS	Venom Impress		
2022	GC_CROSSIMPACT	Cross Impact		
2023	GC_DARKILLUSION	Dark Illusion		
2024	GC_RESEARCHNEWPOISON	Research New Poison		
2025	GC_CREATENEWPOISON	Create New Poison		
2026	GC_ANTIDOTE	Antidote		
2027	GC_POISONINGWEAPON	Poisoning Weapon		
2028	GC_WEAPONBLOCKING	Weapon Blocking		
2029	GC_COUNTERSLASH	Counter Slash		
2030	GC_WEAPONCRUSH	Weapon Crush		
2031	GC_VENOMPRESSURE	Venom Pressure		
2032	GC_POISONSMOKE	Poison Smoke		
2033	GC_CLOAKINGEXCEED	Cloaking Exceed		
2034	GC_PHANTOMMENACE	Phantom Menace		
2035	GC_HALLUCINATIONWALK	Hallucination Walk		
2036	GC_ROLLINGCUTTER	Rolling Cutter		
2037	GC_CROSSRIPPERSLASHER	Cross Ripper Slasher		
2038	AB_JUDEX	Judex		
2039	AB_ANCILLA	Ancilla		
2040	AB_ADORAMUS	Adoramus		
2041	AB_CLEMENTIA	Crementia		
2042	AB_CANTO	Canto Candidus		
2043	AB_CHEAL	Coluceo Heal		
2044	AB_EPICLESIS	Epiclesis		
2045	AB_PRAEFATIO	Praefatio		
2046	AB_ORATIO	Oratio		
2047	AB_LAUDAAGNUS	Lauda Agnus		
2048	AB_LAUDARAMUS	Lauda Ramus		
2049	AB_EUCHARISTICA	Eucharistica		
2050	AB_RENOVATIO	Renovatio		
2051	AB_HIGHNESSHEAL	Highness Heal		
2052	AB_CLEARANCE	Clearance		
2053	AB_EXPIATIO	Expiatio		
2054	AB_DUPLELIGHT	Duple Light		
2055	AB_DUPLELIGHT_MELEE	Duple Light Melee		
2056	AB_DUPLELIGHT_MAGIC	Duple Light Magic		
2057	AB_SILENTIUM	Silentium		
2201	WL_WHITEIMPRISON	White Imprison		
2202	WL_SOULEXPANSION	Soul Expansion		
2203	WL_FROSTMISTY	Frosty Misty		
2204	WL_JACKFROST	Jack Frost		
2205	WL_MARSHOFABYSS	Marsh of Abyss		
2206	WL_RECOGNIZEDSPELL	Recognized Spell		
2207	WL_SIENNAEXECRATE	Sienna Execrate		
2208	WL_RADIUS	Radius		
2209	WL_STASIS	Stasis		
2210	WL_DRAINLIFE	Drain Life		
2211	WL_CRIMSONROCK	Crimson Rock		
2212	WL_HELLINFERNO	Hell Inferno		
2213	WL_COMET	Comet		
2214	WL_CHAINLIGHTNING	Chain Lightning		
2215	WL_CHAINLIGHTNING_ATK	Chain Lightning Attack		
2216	WL_EARTHSTRAIN	Earth Strain		
2217	WL_TETRAVORTEX	Tetra Vortex		
2218	WL_TETRAVORTEX_FIRE	Tetra Vortex Fire		
2219	WL_TETRAVORTEX_WATER	Tetra Vortex Water		
2220	WL_TETRAVORTEX_WIND	Tetra Vortex Wind		
2221	WL_TETRAVORTEX_GROUND	Tetra Vortex Earth		
2222	WL_SUMMONFB	Summon Fire Ball		
2223	WL_SUMMONBL	Summon Lightning Ball		
2224	WL_SUMMONWB	Summon Water Ball		
2225	WL_SUMMON_ATK_FIRE	Summon Attack Fire		
2226	WL_SUMMON_ATK_WIND	Summon Attack Wind		
2227	WL_SUMMON_ATK_WATER	Summon Attack Water		
2228	WL_SUMMON_ATK_GROUND	Summon Attack Earth		
2229	WL_SUMMONSTONE	Summon Stone		
2230	WL_RELEASE	Release		
2231	WL_READING_SB	Reading Spellbook		
2232	WL_FREEZE_SP	Freeze Spell		
2233	RA_ARROWSTORM	Arrow Storm		
2234	RA_FEARBREEZE	Fear Breeze		
2235	RA_RANGERMAIN	Ranger Main		
2236	RA_AIMEDBOLT	Aimed Bolt		
2237	RA_DETONATOR	Detonator		
2238	RA_ELECTRICSHOCKER	Electric Shocker		
2239	RA_CLUSTERBOMB	Cluster Bomb		
2240	RA_WUGMASTERY	Warg Mastery		
2241	RA_WUGRIDER	Warg Rider		
2242	RA_WUGDASH	Warg Dash		
2243	RA_WUGSTRIKE	Warg Strike		
2244	RA_WUGBITE	Warg Bite		
2245	RA_TOOTHOFWUG	Tooth of Warg		
2246	RA_SENSITIVEKEEN	Sensitive Keen		
2247	RA_CAMOUFLAGE	Camouflage		
2248	RA_RESEARCHTRAP	Research Trap		
2249	RA_MAGENTATRAP	Magenta Trap		
2250	RA_COBALTTRAP	Cobalt Trap		
2251	RA_MAIZETRAP	Maize Trap		
2252	RA_VERDURETRAP	Verdure Trap		
2253	RA_FIRINGTRAP	Firing Trap		
2254	RA_ICEBOUNDTRAP	Icebound Trap		
2255	NC_MADOLICENCE	Mado License		
2256	NC_BOOSTKNUCKLE	Boost Knuckle		
2257	NC_PILEBUNKER	Pile Bunker		
2258	NC_VULCANARM	Vulcan Arm		
2259	NC_FLAMELAUNCHER	Flame Launcher		
2260	NC_COLDSLOWER	Cold Slower		
2261	NC_ARMSCANNON	Arm Cannon		
2262	NC_ACCELERATION	Acceleration		
2263	NC_HOVERING	Hovering		
2264	NC_F_SIDESLIDE	Front-Side Slide		
2265	NC_B_SIDESLIDE	Back-Side Slide		
2266	NC_MAINFRAME	Mainframe Restructure		
2267	NC_SELFDESTRUCTION	Self Destruction		
2268	NC_SHAPESHIFT	Shape Shift		
2269	NC_EMERGENCYCOOL	Emergency Cool		
2270	NC_INFRAREDSCAN	Infrared Scan		
2271	NC_ANALYZE	Analyze		
2272	NC_MAGNETICFIELD	Magnetic Field		
2273	NC_NEUTRALBARRIER	Neutral Barrier		
2274	NC_STEALTHFIELD	Stealth Field		
2275	NC_REPAIR	Repair		
2276	NC_TRAININGAXE	Axe Training		
2277	NC_RESEARCHFE	Research Fire/Earth		
2278	NC_AXEBOOMERANG	Axe Boomerang		
2279	NC_POWERSWING	Power Swing		
2280	NC_AXETORNADO	Axe Tornado		
2281	NC_SILVERSNIPER	FAW - Silver Sniper		
2282	NC_MAGICDECOY	FAW - Magic Decoy		
2283	NC_DISJOINT	FAW Removal		
2284	SC_FATALMENACE	Fatal Menace		
2285	SC_REPRODUCE	Reproduce		
2286	SC_AUTOSHADOWSPELL	Auto Shadow Spell		
2287	SC_SHADOWFORM	Shadow Form		
2288	SC_TRIANGLESHOT	Triangle Shot		
2289	SC_BODYPAINT	Body Painting		
2290	SC_INVISIBILITY	Invisibility		
2291	SC_DEADLYINFECT	Deadly Infect		
2292	SC_ENERVATION	Masquerade - Enervation		
2293	SC_GROOMY	Masquerade - Gloomy		
2294	SC_IGNORANCE	Masquerade - Ignorance		
2295	SC_LAZINESS	Masquerade - Laziness		
2296	SC_UNLUCKY	Masquerade - Unlucky		
2297	SC_WEAKNESS	Masquerade - Weakness		
2298	SC_STRIPACCESSARY	Strip Accessory		
2299	SC_MANHOLE	Man Hole		
2300	SC_DIMENSIONDOOR	Dimension Door		
2301	SC_CHAOSPANIC	Chaos Panic		
2302	SC_MAELSTROM	Maelstrom		
2303	SC_BLOODYLUST	Bloody Lust		
2304	SC_FEINTBOMB	Feint Bomb		
2307	LG_CANNONSPEAR	Cannon Spear		
2308	LG_BANISHINGPOINT	Banishing Point		
2309	LG_TRAMPLE	Trample		
2310	LG_SHIELDPRESS	Shield Press		
2311	LG_REFLECTDAMAGE	Reflect Damage		
2312	LG_PINPOINTATTACK	Pinpoint Attack		
2313	LG_FORCEOFVANGUARD	Force of Vanguard		
2314	LG_RAGEBURST	Rage Burst		
2315	LG_SHIELDSPELL	Shield Spell		
2316	LG_EXEEDBREAK	Exceed Break		
2317	LG_OVERBRAND	Over Brand		
2318	LG_PRESTIGE	Prestige		
2319	LG_BANDING	Banding		
2320	LG_MOONSLASHER	Moon Slasher		
2321	LG_RAYOFGENESIS	Ray of Genesis		
2322	LG_PIETY	Piety		
2323	LG_EARTHDRIVE	Earth Drive		
2324	LG_HESPERUSLIT	Hesperus Lit		
2325	LG_INSPIRATION	Inspiration		
2326	SR_DRAGONCOMBO	Dragon Combo		
2327	SR_SKYNETBLOW	Sky Net Blow		
2328	SR_EARTHSHAKER	Earth Shaker		
2329	SR_FALLENEMPIRE	Fallen Empire		
2330	SR_TIGERCANNON	Tiger Cannon		
2331	SR_HELLGATE	Hell Gate		
2332	SR_RAMPAGEBLASTER	Rampage Blaster		
2333	SR_CRESCENTELBOW	Crescent Elbow		
2334	SR_CURSEDCIRCLE	Cursed Circle		
2335	SR_LIGHTNINGWALK	Lightning Walk		
2336	SR_KNUCKLEARROW	Knuckle Arrow		
2337	SR_WINDMILL	Windmill		
2338	SR_RAISINGDRAGON	Raising Dragon		
2339	SR_GENTLETOUCH	Gentle Touch		
2340	SR_ASSIMILATEPOWER	Assimilate Power		
2341	SR_POWERVELOCITY	Power Velocity		
2342	SR_CRESCENTELBOW_AUTOSPELL	Crescent Elbow Autospell		
2343	SR_GATEOFHELL	Gate of Hell		
2344	SR_GENTLETOUCH_QUIET	Gentle Touch - Quiet		
2345	SR_GENTLETOUCH_CURE	Gentle Touch - Cure		
2346	SR_GENTLETOUCH_ENERGYGAIN	Gentle Touch - Energy Gain		
2347	SR_GENTLETOUCH_CHANGE	Gentle Touch - Change		
2348	SR_GENTLETOUCH_REVITALIZE	Gentle Touch - Revitalize		
2350	WA_SWING_DANCE	Swing Dance		
2351	WA_SYMPHONY_OF_LOVER	Symphony of Lovers		
2352	WA_MOONLIT_SERENADE	Moonlit Serenade		
2381	MI_RUSH_WINDMILL	Windmill Rush Attack		
2382	MI_ECHOSONG	Echo Song		
2383	MI_HARMONIZE	Harmonize		
2412	WM_LESSON	Lesson		
2413	WM_METALICSOUND	Metallic Sound		
2414	WM_REVERBERATION	Reverberation		
2415	WM_REVERBERATION_MELEE	Reverberation Melee		
2416	WM_REVERBERATION_MAGIC	Reverberation Magic		
2417	WM_DOMINION_IMPULSE	Dominion Impulse		
2418	WM_SEVERE_RAINSTORM	Severe Rainstorm		
2419	WM_POEMOFNETHERWORLD	Poem of The Netherworld		
2420	WM_VOICEOFSIREN	Voice of Siren		
2421	WM_DEADHILLHERE	Valley of Death		
2422	WM_LULLABY_DEEPSLEEP	Deep Sleep Lullaby		
2423	WM_SIRCLEOFNATURE	Circle of Nature's Sound		
2424	WM_RANDOMIZESPELL	Improvised Song		
2425	WM_GLOOMYDAY	Gloomy Day		
2426	WM_GREAT_ECHO	Great Echo		
2427	WM_SONG_OF_MANA	Song of Mana		
2428	WM_DANCE_WITH_WUG	Dance With A Warg		
2429	WM_SOUND_OF_DESTRUCTION	Sound of Destruction		
2430	WM_SATURDAY_NIGHT_FEVER	Saturday Night Fever		
2431	WM_LERADS_DEW	Lerad's Dew		
2432	WM_MELODYOFSINK	Melody of Sink		
2433	WM_BEYOND_OF_WARCRY	Warcry of Beyond		
2434	WM_UNLIMITED_HUMMING_VOICE	Unlimited Humming Voice		
2443	SO_FIREWALK	Fire Walk		
2444	SO_ELECTRICWALK	Electric Walk		
2445	SO_SPELLFIST	Spell Fist		
2446	SO_EARTHGRAVE	Earth Grave		
2447	SO_DIAMONDDUST	Diamond Dust		
2448	SO_POISON_BUSTER	Poison Buster		
2449	SO_PSYCHIC_WAVE	Psychic Wave		
2450	SO_CLOUD_KILL	Cloud Kill		
2451	SO_STRIKING	Striking		
2452	SO_WARMER	Warmer		
2453	SO_VACUUM_EXTREME	Vacuum Extreme		
2454	SO_VARETYR_SPEAR	Varetyr Spear		
2455	SO_ARRULLO	Arrullo		
2456	SO_EL_CONTROL	Spirit Control		
2457	SO_SUMMON_AGNI	Summon Fire Spirit Agni		
2458	SO_SUMMON_AQUA	Summon Water Spirit Aqua		
2459	SO_SUMMON_VENTUS	Summon Wind Spirit Ventus		
2460	SO_SUMMON_TERA	Summon Earth Spirit Tera		
2461	SO_EL_ACTION	Elemental Action		
2462	SO_EL_ANALYSIS	Four Spirit Analysis		
2463	SO_EL_SYMPATHY	Spirit Sympathy		
2464	SO_EL_CURE	Spirit Recovery		
2465	SO_FIRE_INSIGNIA	Fire Insignia		
2466	SO_WATER_INSIGNIA	Water Insignia		
2467	SO_WIND_INSIGNIA	Wind Insignia		
2468	SO_EARTH_INSIGNIA	Earth Insignia		
2474	GN_TRAINING_SWORD	Sword Training		
2475	GN_REMODELING_CART	Cart Remodeling		
2476	GN_CART_TORNADO	Cart Tornado		
2477	GN_CARTCANNON	Cart Cannon		
2478	GN_CARTBOOST	Cart Boost		
2479	GN_THORNS_TRAP	Thorn Trap		
2480	GN_BLOOD_SUCKER	Blood Sucker		
2481	GN_SPORE_EXPLOSION	Spore Explosion		
2482	GN_WALLOFTHORN	Wall of Thorns		
2483	GN_CRAZYWEED	Crazy Weed		
2484	GN_CRAZYWEED_ATK	Crazy Weed Attack		
2485	GN_DEMONIC_FIRE	Demonic Fire		
2486	GN_FIRE_EXPANSION	Fire Expansion		
2487	GN_FIRE_EXPANSION_SMOKE_POWDER	Fire Expansion Smoke Powder		
2488	GN_FIRE_EXPANSION_TEAR_GAS	Fire Expansion Tear Gas		
2489	GN_FIRE_EXPANSION_ACID	Fire Expansion Acid		
2490	GN_HELLS_PLANT	Hell's Plant		
2491	GN_HELLS_PLANT_ATK	Hell's Plant Attack		
2492	GN_MANDRAGORA	Howling of Mandragora		
2493	GN_SLINGITEM	Sling Item		
2494	GN_CHANGEMATERIAL	Change Material		
2495	GN_MIX_COOKING	Mix Cooking		
2496	GN_MAKEBOMB	Create Bomb		
2497	GN_S_PHARMACY	Special Pharmacy		
2498	GN_SLINGITEM_RANGEMELEEATK	Sling Item Attack		
2515	AB_SECRAMENT	Secrament		
2516	WM_SEVERE_RAINSTORM_MELEE	Severe Rainstorm Melee		
2517	SR_HOWLINGOFLION	Howling of Lion		
2518	SR_RIDEINLIGHTNING	Ride In Lightening		
2519	LG_OVERBRAND_BRANDISH	Over Brand		
2534	RETURN_TO_ELDICASTES	Return To Eldicastes		
2535	ALL_BUYING_STORE	Open Buying Store	X	Not relevant
2536	ALL_GUARDIAN_RECALL	Guardian's Recall		
2537	ALL_ODINS_POWER	Odin's Power		
2544	MC_CARTDECORATE	Change Cart 2	X	Not relevant
2551	RL_GLITTERING_GREED	Flip The Coin Greed		
2552	RL_RICHS_COIN	Rich's Coin		
2553	RL_MASS_SPIRAL	Mass Spiral		
2554	RL_BANISHING_BUSTER	Banishing Buster		
2555	RL_B_TRAP	Bind Trap		
2556	RL_FLICKER	Flicker		
2557	RL_S_STORM	Shatter Storm		
2558	RL_E_CHAIN	Eternal Chain		
2559	RL_QD_SHOT	Quick Draw Shot		
2560	RL_C_MARKER	Crimson Marker		
2561	RL_FIREDANCE	Fire Dance		
2562	RL_H_MINE	Howling Mine		
2563	RL_P_ALTER	Platinum Alter		
2564	RL_FALLEN_ANGEL	Fallen Angel		
2565	RL_R_TRIP	Round Trip		
2566	RL_D_TAIL	Dragon Tail		
2567	RL_FIRE_RAIN	Fire Rain		
2568	RL_HEAT_BARREL	Heat Barrel		
2569	RL_AM_BLAST	Anti-Material Blast		
2570	RL_SLUGSHOT	Slug Shot		
2571	RL_HAMMER_OF_GOD	Hammer of God		
2572	RL_R_TRIP_PLUSATK	Round Trip Plus Attack		
2573	RL_B_FLICKER_ATK	Bind Flicker Attack		
2574	SJ_LIGHTOFMOON	Light Of Moon		
2575	SJ_LUNARSTANCE	Lunar Stance		
2576	SJ_FULLMOONKICK	Full Moon Kick		
2577	SJ_LIGHTOFSTAR	Light Of Star		
2578	SJ_STARSTANCE	Star Stance		
2579	SJ_NEWMOONKICK	New Moon Kick		
2580	SJ_FLASHKICK	Flash Kick		
2581	SJ_STAREMPEROR	Advent of the Star Emperor		
2582	SJ_NOVAEXPLOSING	Nova Explosing		
2583	SJ_UNIVERSESTANCE	Universe Stance		
2584	SJ_FALLINGSTAR	Falling Star		
2585	SJ_GRAVITYCONTROL	Gravity Control		
2586	SJ_BOOKOFDIMENSION	Book Of Dimension		
2587	SJ_BOOKOFCREATINGSTAR	Book Of Creating Star		
2588	SJ_DOCUMENT	Document		
2589	SJ_PURIFY	Purify		
2590	SJ_LIGHTOFSUN	Light Of Sun		
2591	SJ_SUNSTANCE	Sun Stance		
2592	SJ_SOLARBURST	Solar Burst		
2593	SJ_PROMINENCEKICK	Prominence Kick		
2594	SJ_FALLINGSTAR_ATK	Falling Star Attack		
2595	SJ_FALLINGSTAR_ATK2	Falling Star Attack2		
2596	SP_SOULGOLEM	Golem's Soul		
2597	SP_SOULSHADOW	Soul Shadow		
2598	SP_SOULFALCON	Soul Falcon		
2599	SP_SOULFAIRY	Soul Fairy		
2600	SP_CURSEEXPLOSION	Curse Explosion		
2601	SP_SOULCURSE	Soul Curse		
2602	SP_SPA	Spa		
2603	SP_SHA	Sha		
2604	SP_SWHOO	Shoo		
2605	SP_SOULUNITY	Soul Unity		
2606	SP_SOULDIVISION	Soul Division		
2607	SP_SOULREAPER	Soul Reaper		
2608	SP_SOULREVOLVE	Soul Revolve		
2609	SP_SOULCOLLECT	Soul Collect		
2610	SP_SOULEXPLOSION	Soul Explosion		
2611	SP_SOULENERGY	Soul Energy Research		
2612	SP_KAUTE	Kaute		
3001	KO_YAMIKUMO	Yamikumo		
3002	KO_RIGHT	Right Hand Mastery		
3003	KO_LEFT	Left Hand Mastery		
3004	KO_JYUMONJIKIRI	Cross Strike		
3005	KO_SETSUDAN	Soul Sever		
3006	KO_BAKURETSU	Bakuretsu Kunai		
3007	KO_HAPPOKUNAI	Happo Kunai		
3008	KO_MUCHANAGE	Mucha Nage		
3009	KO_HUUMARANKA	Huuma Shuriken Ranka		
3010	KO_MAKIBISHI	Makibishi		
3011	KO_MEIKYOUSISUI	Meikyo Shisui		
3012	KO_ZANZOU	Zanzou		
3013	KO_KYOUGAKU	Kyougaku		
3014	KO_JYUSATSU	Jyusatsu		
3015	KO_KAHU_ENTEN	Kahu Enten		
3016	KO_HYOUHU_HUBUKI	Hyouhu Hubuki		
3017	KO_KAZEHU_SEIRAN	Kazehu Seiran		
3018	KO_DOHU_KOUKAI	Dohu Koukai		
3019	KO_KAIHOU	Technique Kaihou		
3020	KO_ZENKAI	Zenkai		
3021	KO_GENWAKU	Genwaku		
3022	KO_IZAYOI	Izayoi		
3023	KG_KAGEHUMI	Kagehumi		
3024	KG_KYOMU	Kyomu		
3025	KG_KAGEMUSYA	Kagemusha		
3026	OB_ZANGETSU	Zangetsu		
3027	OB_OBOROGENSOU	Oboro Gensou		
3028	OB_OBOROGENSOU_TRANSITION_ATK	Hazy Moonlight Illusion Transition Attack		
3029	OB_AKAITSUKI	Akaitsuki		
3031	ECL_SNOWFLIP	Snow Flip		
3032	ECL_PEONYMAMY	Peony Mamy		
3033	ECL_SADAGUI	Sadagui		
3034	ECL_SEQUOIADUST	Sequoia Dust		
3035	ECLAGE_RECALL	Return To Eclage		
5001	GC_DARKCROW	Dark Claw		
5002	RA_UNLIMIT	Unlimited		
5003	GN_ILLUSIONDOPING	Illusion Doping		
5004	RK_DRAGONBREATH_WATER	Dragon Breath - Water		
5005	RK_LUXANIMA	Lux Anima		
5006	NC_MAGMA_ERUPTION	Magma Eruption		
5007	WM_FRIGG_SONG	Frigg's Song		
5008	SO_ELEMENTAL_SHIELD	Elemental Shield		
5009	SR_FLASHCOMBO	Flash Combo		
5010	SC_ESCAPE	Emergency Escape		
5011	AB_OFFERTORIUM	Offertorium		
5012	WL_TELEKINESIS_INTENSE	Intense Telekinesis		
5013	LG_KINGS_GRACE	King's Grace		
5014	ALL_FULL_THROTTLE	Full Throttle		
5018	SU_BASIC_SKILL	New Basic Skill		
5019	SU_BITE	Bite		
5020	SU_HIDE	Hide		
5021	SU_SCRATCH	Scratch		
5022	SU_STOOP	Stoop		
5023	SU_LOPE	Lope		
5024	SU_SPRITEMABLE	Spirit Marble		
5025	SU_POWEROFLAND	Power of Land		
5026	SU_SV_STEMSPEAR	Silvervine Stem Spear		
5027	SU_CN_POWDERING	Catnip Powdering		
5028	SU_CN_METEOR	Catnip Meteor		
5029	SU_SV_ROOTTWIST	Silvervine Root Twist		
5030	SU_SV_ROOTTWIST_ATK	Silver Vine Root Twist Attack		
5031	SU_POWEROFLIFE	Power of Life		
5032	SU_SCAROFTAROU	Scar of Tarou		
5033	SU_PICKYPECK	Picky Peck		
5034	SU_PICKYPECK_DOUBLE_ATK	Picky Peck Double Attack		
5035	SU_ARCLOUSEDASH	Arclouse Dash		
5036	SU_LUNATICCARROTBEAT	Lunatic Carrot Beat		
5037	SU_POWEROFSEA	Power of Sea		
5038	SU_TUNABELLY	Tuna Belly		
5039	SU_TUNAPARTY	Tuna Party		
5040	SU_BUNCHOFSHRIMP	Bunch of Shrimp		
5041	SU_FRESHSHRIMP	Fresh Shrimp		
5042	SU_CN_METEOR_ATK			
5043	SU_LUNATICCARROTBEAT2	Lunatic Carrot Beat 2		
8001	HLIF_HEAL	Healing Touch		
8002	HLIF_AVOID	Avoid		
8003	HLIF_BRAIN	Brain Surgery		
8004	HLIF_CHANGE	Change		
8005	HAMI_CASTLE	Castling		
8006	HAMI_DEFENCE	Defense		
8007	HAMI_SKIN	Adamantium Skin		
8008	HAMI_BLOODLUST	Bloodlust		
8009	HFLI_MOON	Moonlight		
8010	HFLI_FLEET	Fleeting Move		
8011	HFLI_SPEED	Speed		
8012	HFLI_SBR44	S.B.R.44		
8013	HVAN_CAPRICE	Caprice		
8014	HVAN_CHAOTIC	Benediction of Chaos		
8015	HVAN_INSTRUCT	Instruct		
8016	HVAN_EXPLOSION	Bio Explosion		
8018	MH_SUMMON_LEGION	Summon Legion		
8019	MH_NEEDLE_OF_PARALYZE	Needle of Paralyze		
8020	MH_POISON_MIST	Poison Mist		
8021	MH_PAIN_KILLER	Pain Killer		
8022	MH_LIGHT_OF_REGENE	Light of Regene		
8023	MH_OVERED_BOOST	Overed Boost		
8024	MH_ERASER_CUTTER	Eraser Cutter		
8025	MH_XENO_SLASHER	Xeno Slasher		
8026	MH_SILENT_BREEZE	Silent Breeze		
8027	MH_STYLE_CHANGE	Style Change		
8028	MH_SONIC_CRAW	Sonic Claw		
8029	MH_SILVERVEIN_RUSH	Silver Bain Rush		
8030	MH_MIDNIGHT_FRENZY	Midnight Frenzy		
8031	MH_STAHL_HORN	Steel Horn		
8032	MH_GOLDENE_FERSE	Golden Heel		
8033	MH_STEINWAND	Stone Wall		
8034	MH_HEILIGE_STANGE	Holy Pole		
8035	MH_ANGRIFFS_MODUS	Attack Mode		
8036	MH_TINDER_BREAKER	Tinder Breaker		
8037	MH_CBC	Continual Break Combo		
8038	MH_EQC	Eternal Quick Combo		
8039	MH_MAGMA_FLOW	Magma Flow		
8040	MH_GRANITIC_ARMOR	Granitic Armor		
